Check for Updates...	Zkontrolovat aktualizace...
Horizontal text anchor	Vodorovné ukotvení textu
Ticker	Rolující text
Ticker direction	Směr rolujícího textu
Ticker start inside	Rolující text začínající uvnitř
Ticker stop inside	Rolující text začínající vně
Number of ticker runs	Počet opakování rolujícího textu
Speed of ticker	Rychlost rolujícího textu
Ticker step size	Velikost kroku rolujícího textu
Outline text flow	Tok textu osnovy
User-defined attributes	Uživatelem definované atributy
Use font-independent line spacing	Použít řádkování nezávislé na písmu
Word wrap text in shape	Zalomit text do tvaru
Next link in text chain	Následující propojení pro zřetězený text
Type of connector	Typ spojnice
Horz. spacing object 1	Objekt vodorovného rozestupu 1
Vert. spacing object 1	Objekt svislého rozestupu 1
Horz. spacing object 2	Objekt vodorovného rozestupu 2
Vert. spacing object 2	Objekt svislého rozestupu 2
Glue spacing object 1	Objekt záchytného rozestupu 1
Glue spacing object 2	Objekt záchytného rozestupu 2
Number of movable lines	Počet přesunutelných řádků
Offset line 1	Offset line 1
Offset line 2	Offset line 2
Offset line 3	Offset line 3
Type of dimensioning	Typ kótování
Dimension value - horizontal position	Text kóty - vodorovné umístění
Dimension value - vertical position	Text kóty - svislé umístění
Dimension line space	Velikost řádkování kót
Dimension help line overhang	Pomocný řádek kóty přesahuje
Dimension help line spacing	Velikost řádkování pomocných kót
Backlog of dimension help line 1	Šipka pomocného kótování 1
Backlog of dimension help line 2	Šipka pomocného kótování 2
Lower edge dimensioning	Kótovat spodní rohy
Dimension value across dimension line	Text kóty psát přímo na kótu
Rotate dimension value by 180 degree	Otočit text kóty o 180 stupňů
Dimension line overhang	Kótovací čára přesahuje
Measure unit	Měrná jednotka
Additional scale factor	Další faktory
Measure unit display	Zobrazit měrnou jednotku
Dimension value format	Formát textu kóty
AutoPositioning of the dimension value	Automatické umístění textu kóty
Angle for the automatic positioning of the dimension value	Úhel pro automatické umístění textu kóty
Determination of the dimension value angle	Určení úhlu textu kóty
Angle of the dimension value	Úhel textu kóty
Decimal places	Desetinná místa
Type of circle	Typ kruhu
Start angle	Počáteční úhel
End angle	Koncový úhel
Protected object position	Uzamčené umístění objektu
Protected object size	Uzamčená velikost objektu
Object, printable	Objekt je možné tisknout
Object, visible	Objekt je viditelný
Level ID	Určení úrovně
Layer	Vrstva
Object name	Název objektu
Position X, complete	Pozice X, celkem
Position Y, complete	Pozice Y, celkem
Total Width	Celková šířka
Height, complete	Celková výška
Single position X	Pozice X jednotlivě
Single position Y	Pozice Y jednotlivě
Single width	Šířka jednotlivě
Single height	Výška jednotlivě
Logical width	Logická šířka
Logical height	Logická výška
Single rotation angle	Jednoduchý úhel otočení
Single shear angle	Jednoduchý úhel naklonění
Move horizontally	Přesunout vodorovně
Move vertically	Přesunout svisle
Resize X, single	Změnit velikost X, jednotlivě
Resize Y, single	Změnit velikost Y, jednotlivě
Single rotation	Jednotlivé otočení
Single horizontal shear	Jednoduché vodorovné naklonění
Single vertical shear	Jednoduché svislé naklonění
Resize X, complete	Změnit velikost X, celkově
Resize Y, complete	Změnit velikost Y, celkově
Rotate all	Otočit vše
Shear horizontal, complete	Celkem vodorovných naklonění
Shear vertical, complete	Celkem svislých naklonění
Reference point 1 X	Referenční bod 1 X
Reference point 1 Y	Referenční bod 1 Y
Reference point 2 X	Referenční bod 2 X
Reference point 2 Y	Referenční bod 2 Y
Hyphenation	Dělení slov
Display bullets	Zobrazovat odrážky
Numbering indents	Odsazení číslování
Numbering level	Úroveň číslování
Bullets and Numberings	Odrážky a číslování
Indents	Odsazení
Paragraph spacing	Rozestupy mezi odstavci
Line spacing	Řádkování
Paragraph alignment	Zarovnání odstavce
Tabulators	Tabulátory
Font color	Barva písma
Character set	Znaková sada
Font size	Velikost písma
Font width	Šířka písma
Bold (thickness)	Tučné (tloušťka)
Underline	Podtržené
Overline	Nadtržení
Strikethrough	Přeškrtnuté
Italic	Kurzíva
Outline	Obrys
Font shadow	Stín písma
Superscript/subscript	Horní a dolní index
Kerning	Kerning
Manual kerning	Ruční kerning
No underline for spaces	Nepodtrhávat mezery
Tabulator	Tabulátor
Optional line break	Volitelné zalomení řádku
Non-convertible character	Nepřevoditelný znak
Fields	Pole
Red	Červená
Green	Zelená
Blue	Modrá
Brightness	Jas
Contrast	Kontrast
Gamma	Gama
Transparency	Průhlednost
Invert	Převrátit
Image mode	Režim obrázku
Crop	Oříznout
Media object	Mediální objekt
Media objects	Objekty s médii
Insert column	Vložit sloupec
Insert row	Vložit řádek
Delete column	Smazat sloupec
Delete row	Smazat řádek
Split cells	Rozdělit buňky
Merge cells	Sloučit buňky
Format cell	Formátovat buňku
Distribute rows	Rozmístit řádky
Distribute columns	Rozmístit sloupce
Delete cell contents	Smazat obsah buněk
Table style	Styl tabulky
Table style settings	Nastavení stylu tabulky
Table	Tabulka
Tables	Tabulky
Font work	Písmomalba
Continuous	Spojitá
Gradient	Přechod
Bitmap	Rastr
Pattern	Vzorek
Untitled Pattern	Vzorek bez názvu
Line Style	Styl čáry
None	Žádný
Color	Barva
Hatching	Šrafování
Arrowheads	Styl šipky
Arrow	Šipka
Square	Čtverec
Circle	Kruh
- none -	- žádná -
Transparency	Průhlednost
Centered	Na střed
Not centered	Nevystředěno
Default	Výchozí
Grayscale	Stupně šedi
Black/White	Černobílá
Watermark	Vodoznak
Left click to apply as background color, right click to set line color	Kliknutím levým tlačítkem nastavíte barvu pozadí, kliknutím pravým barvu čáry
Dark Red 2	Tmavě červená 2
Blue	Modrá
Yellow	Žlutá
Dark Blue 1	Tmavě modrá 1
Light Blue 2	Světle modrá 2
Black	Černá
Gray	Šedá
White	Bílá
Yellow	Žlutá
Gold	Zlatá
Orange	Oranžová
Brick	Červenohnědá
Red	Červená
Magenta	Magenta
Purple	Purpurová
Indigo	Indigová
Blue	Modrá
Teal	Zelenomodrá
Green	Zelená
Lime	Žlutozelená
Light Gray	Světle šedá
Light Yellow	Světle žlutá
Light Gold	Světle zlatá
Light Orange	Světle oranžová
Light Brick	Světle červenohnědá
Light Red	Světle červená
Light Magenta	Světlá magenta
Light Purple	Světle purpurová
Light Indigo	Světle indigová
Light Blue	Světle modrá
Light Teal	Světle zelenomodrá
Light Green	Světle zelená
Light Lime	Světle žlutozelená
Dark Gray	Tmavě šedá
Dark Yellow	Tmavě žlutá
Dark Gold	Tmavě zlatá
Dark Orange	Tmavě oranžová
Dark Brick	Tmavě červenohnědá
Dark Red	Tmavě červená
Dark Magenta	Tmavá magenta
Dark Purple	Tmavě purpurová
Dark Indigo	Tmavě indigová
Dark Blue	Tmavě modrá
Dark Teal	Tmavě zelenomodrá
Dark Green	Tmavě zelená
Dark Lime	Tmavě žlutozelená
Violet	Fialová
Violet (Out of Gamut)	Fialová (mimo gamut)
Blue (Out of Gamut)	Modrá (mimo gamut)
Azure (Out of Gamut)	Blankytná (mimo gamut)
Spring Green (Out of Gamut)	Svěží zelená (mimo gamut)
Green (Out of Gamut)	Zelená (mimo gamut)
Chartreuse Green (Out of Gamut)	Žlutozelená (mimo gamut)
Orange (Out of Gamut)	Oranžová (mimo gamut)
Red (Out of Gamut)	Červená (mimo gamut)
Rose (Out of Gamut)	Růžová (mimo gamut)
Azure	Blankytná
Cyan	Azurová
Spring Green	Svěží zelená
Chartreuse Green	Žlutozelená
Rose	Růžová
Gray A	Šedá A
Yellow A	Žlutá A
Amber A	Zlatá A
Amber	Zlatá
Orange A	Oranžová A
Deep Orange A	Tmavě oranžová A
Deep Orange	Tmavě oranžová
Red A	Červená A
Pink A	Růžová A
Purple A	Purpurová A
Deep Purple A	Tmavě purpurová A
Deep Purple	Tmavě purpurová
Indigo A	Indigová A
Blue A	Modrá A
Light Blue A	Světle modrá A
Cyan A	Azurová A
Teal A	Zelenomodrá A
Green A	Zelená A
Light Green A	Světle zelená A
Lime A	Žlutozelená A
Brown A	Hnědá A
Brown	Hnědá
Blue Gray A	Modrošedá A
Blue Gray	Modrošedá
Blue classic	Klasická modrá
Blue gray	Modrošedá
Bordeaux	Tmavě červená
Pale yellow	Světle žlutá
Pale green	Světle zelená
Dark violet	Tmavě fialová
Salmon	Lososová
Sea blue	Námořnická modř
Chart	Graf
Sky blue	Nebesky modrá
Yellow green	Žlutozelená
Pink	Růžová
Turquoise	Tyrkysová
3D	3D
Black 1	Černá 1
Black 2	Černá 2
Blue	Modrá
Brown	Hnědá
Currency	Měna
Currency 3D	Měna, 3D
Currency Gray	Měna, šedá
Currency Lavender	Měna, levandulová
Currency Turquoise	Měna, tyrkysová
Gray	Šedá
Green	Zelená
Lavender	Levandulová
Red	Červená
Turquoise	Tyrkysová
Yellow	Žlutá
Academic	Akademický
Box List Blue	Modrý seznam
Box List Green	Zelený seznam
Box List Red	Červený seznam
Box List Yellow	Žlutý seznam
Elegant	Elegantní
Financial	Finanční
Simple Grid Columns	Jednoduché sloupce
Simple Grid Rows	Jednoduché řádky
Simple List Shaded	Jednoduchý stínovaný
Line joint averaged	Napojení čar - v půli
Line joint bevel	Napojení čar - úkosem
Line joint miter	Napojení čar - pokosem
Line joint round	Napojení čar - zaoblené
Line cap flat	Rovné zakončení čáry
Line cap round	Zaoblené zakončení čáry
Line cap square	Hranaté zakončení čáry
Gradient	Přechod
Linear blue/white	Lineární modrá/bílá
Linear magenta/green	Lineární magenta/zelená
Linear yellow/brown	Lineární žlutá/hnědá
Radial green/black	Radiální zelená/černá
Radial red/yellow	Radiální červená/žlutá
Rectangular red/white	Obdélníkový červená/bílá
Square yellow/white	Čtvercový žlutá/bílá
Ellipsoid blue gray/light blue	Oválný modrošedý/světle modrý
Axial light red/white	Axiální světle červená/bílá
Diagonal 1l	Úhlopříčně 1l
Diagonal 1r	Úhlopříčně 1r
Diagonal 2l	Úhlopříčně 2l
Diagonal 2r	Úhlopříčně 2r
Diagonal 3l	Úhlopříčně 3l
Diagonal 3r	Úhlopříčně 3r
Diagonal 4l	Úhlopříčně 4l
Diagonal 4r	Úhlopříčně 4r
Diagonal Blue	Úhlopříčně modrá
Diagonal Green	Úhlopříčně zelená
Diagonal Orange	Úhlopříčně oranžová
Diagonal Red	Úhlopříčně červená
Diagonal Turquoise	Úhlopříčně tyrkysová
Diagonal Violet	Úhlopříčně fialová
From a Corner	Z rohu
From a Corner, Blue	Z rohu modrá
From a Corner, Green	Z rohu zelená
From a Corner, Orange	Z rohu oranžová
From a Corner, Red	Z rohu červená
From a Corner, Turquoise	Z rohu tyrkysová
From a Corner, Violet	Z rohu fialová
From the Middle	Ze středu
From the Middle, Blue	Ze středu modrá
From the Middle, Green	Ze středu zelená
From the Middle, Orange	Ze středu oranžová
From the Middle, Red	Ze středu červená
From the Middle, Turquoise	Ze středu tyrkysová
From the Middle, Violet	Ze středu fialová
Horizontal	Vodorovně
Horizontal Blue	Vodorovně modrá
Horizontal Green	Vodorovně zelená
Horizontal Orange	Vodorovně oranžová
Horizontal Red	Vodorovně červená
Horizontal Turquoise	Vodorovně tyrkysová
Horizontal Violet	Vodorovně fialová
Radial	Radiální
Radial Blue	Radiální modrá
Radial Green	Radiální zelená
Radial Orange	Radiální oranžová
Radial Red	Radiální červená
Radial Turquoise	Radiální tyrkysová
Radial Violet	Radiální fialová
Vertical	Svisle
Vertical Blue	Svisle modrá
Vertical Green	Svisle zelená
Vertical Orange	Svisle oranžová
Vertical Red	Svisle červená
Vertical Turquoise	Svisle tyrkysová
Vertical Violet	Svisle fialová
Gray Gradient	Šedý přechod
Yellow Gradient	Žlutý přechod
Orange Gradient	Oranžový přechod
Red Gradient	Červený přechod
Pink Gradient	Růžový přechod
Sky	Obloha
Cyan Gradient	Azurový přechod
Blue Gradient	Modrý přechod
Purple Pipe	Fialová roura
Night	Noc
Green Gradient	Zelený přechod
Pastel Bouquet	Pastelová kytice
Pastel Dream	Pastelový sen
Blue Touch	Dotek modré
Blank with Gray	Bílá a šedá
Spotted Gray	Šedá se středem
London Mist	Londýnská mlha
Teal to Blue	Zelenomodrá do modré
Midnight	Půlnoc
Deep Ocean	Hluboký oceán
Submarine	Ponorka
Green Grass	Zelená tráva
Neon Light	Neonové světlo
Sunshine	Sluneční svit
Present	Dárek
Mahogany	Mahagon
Black 45 Degrees Wide	Široké černé 45 stupňů
Black 45 Degrees	Černé 45 stupňů
Black -45 Degrees	Černé -45 stupňů
Black 90 Degrees	Černé 90 stupňů
Red Crossed 45 Degrees	Křížové červené 45 stupňů
Red Crossed 0 Degrees	Křížové červené 0 stupňů
Blue Crossed 45 Degrees	Křížové modré 45 stupňů
Blue Crossed 0 Degrees	Křížové modré 0 stupňů
Blue Triple 90 Degrees	Trojité modré 90 stupňů
Black 0 Degrees	Černé 0 stupňů
Hatching	Šrafování
Empty	Prázdný
Painted White	Bílá výmalba
Paper Texture	Textura papíru
Paper Crumpled	Zmačkaný papír
Paper Graph	Čtverečkovaný papír
Parchment Paper	Pergamenový papír
Fence	Plot
Wooden Board	Dřevěné prkno
Maple Leaves	Javorové listí
Lawn	Trávník
Colorful Pebbles	Barevné oblázky
Coffee Beans	Kávová zrna
Little Clouds	Oblaka
Bathroom Tiles	Dlaždičky v koupelně
Wall of Rock	Kamenná zeď
Zebra	Zebra
Color Stripes	Barevné pruhy
Gravel	Štěrk
Parchment Studio	Pergamenové studio
Night Sky	Noční obloha
Pool	Bazén
Bitmap	Rastr
5 Percent	5 procent
10 Percent	10 procent
20 Percent	20 procent
25 Percent	25 procent
30 Percent	30 procent
40 Percent	40 procent
50 Percent	50 procent
60 Percent	60 procent
70 Percent	70 procent
75 Percent	75 procent
80 Percent	80 procent
90 Percent	90 procent
Light Downward Diagonal	Světlý úhlopříčně dolů
Light Upward Diagonal	Světlý úhlopříčně nahoru
Dark Downward Diagonal	Tmavý úhlopříčně dolů
Dark Upward Diagonal	Tmavý úhlopříčně nahoru
Wide Downward Diagonal	Široký úhlopříčně dolů
Wide Upward Diagonal	Široký úhlopříčně nahoru
Light Vertical	Světlý svisle
Light Horizontal	Světlý vodorovně
Narrow Vertical	Úzký svisle
Narrow Horizontal	Úzký vodorovně
Dark Vertical	Tmavý svisle
Dark Horizontal	Tmavý vodorovně
Dashed Downward Diagonal	Čárkovaný úhlopříčně dolů
Dashed Upward Diagonal	Čárkovaný úhlopříčně nahoru
Dashed Horizontal	Čárkovaný vodorovně
Dashed Vertical	Čárkovaný svisle
Small Confetti	Malé konfety
Large Confetti	Velké konfety
Zig Zag	Cikcak
Wave	Vlny
Diagonal Brick	Úhlopříčné cihly
Horizontal Brick	Vodorovné cihly
Weave	Tkanina
Plaid	Přehoz
Divot	Trávník
Dotted Grid	Tečkovaná mřížka
Dotted Diamond	Tečkovaný kosočtverec
Shingle	Šindel
Trellis	Treláž
Sphere	Kuličky
Small Grid	Malá mřížka
Large Grid	Velká mřížka
Small Checker Board	Malá šachovnice
Large Checker Board	Velká šachovnice
Outlined Diamond	Obrys kosočtverce
Solid Diamond	Plný kosočtverec
Vertical	Svislý
Horizontal	Vodorovný
Downward Diagonal	Úhlopříčně dolů
Upward Diagonal	Úhlopříčně nahoru
Cross	Kříž
Diagonal Cross	Kříž úhlopříčně
Ultrafine Dashed	Velmi jemně čárkovaná
Fine Dashed	Jemně čárkovaná
2 Dots 3 Dashes	2 tečky 3 čárky
Fine Dotted	Jemně tečkovaná
Line with Fine Dots	Střídavá čára s jemnými tečkami
Fine Dashed	Jemně čárkovaná
3 Dashes 3 Dots	3 čárky 3 tečky
Ultrafine Dotted	Velmi jemně tečkovaná
Line Style 9	Styl čáry 9
2 Dots 1 Dash	2 tečky 1 čárka
Dashed	Čárkovaná
Dashed	Čárkovaná
Line Style	Styl čáry
All formats	Všechny formáty
Arrow concave	Konkávní šipka
Square 45	Čtverec 45
Small arrow	Malá šipka
Dimension lines	Kótovací čáry
Double Arrow	Dvojitá šipka
Rounded short arrow	Zaoblená krátká šipka
Symmetric arrow	Souměrná šipka
Line arrow	Čárová šipka
Rounded large arrow	Zaoblená velká šipka
Circle	Kruh
Square	Čtverec
Arrow	Šipka
Short line arrow	Šipka s krátkou čárkou
Triangle unfilled	Prázdný trojúhelník
Diamond unfilled	Prázdný kosočtverec
Diamond	Kosočtverec
Circle unfilled	Prázdný kruh
Square 45 unfilled	Prázdný čtverec 45
Square unfilled	Prázdný čtverec
Half circle unfilled	Prázdný půlkruh
Arrowhead	Hrot šipky
Transparency	Průhlednost
Green 1 (%PRODUCTNAME Main Color)	Zelená 1 (hlavní barva %PRODUCTNAME)
Green Accent	Výrazná zelená
Blue Accent	Výrazná modrá
Orange Accent	Výrazná oranžová
Purple	Purpurová
Purple Accent	Výrazná purpurová
Yellow Accent	Výrazná žlutá
Tango: Butter	Tango: máslová
Tango: Orange	Tango: oranžová
Tango: Chocolate	Tango: čokoládová
Tango: Chameleon	Tango: chameleon
Tango: Sky Blue	Tango: nebesky modrá
Tango: Plum	Tango: švestková
Tango: Scarlet Red	Tango: šarlatově červená
Tango: Aluminium	Tango: hliníková
Gallery Theme	Galerie motivů vzhledu
Theme Items	Položky motivů vzhledu
Preview	Náhled
Successfully recovered	Úspěšně obnoveno
Original document recovered	Obnoven původní dokument
Recovery failed	Obnovení selhalo
Recovery in progress	Probíhá obnova
Not recovered yet	Zatím neobnovováno
%PRODUCTNAME %PRODUCTVERSION has begun recovering your documents. Depending on the size of the documents this process can take some time.	%PRODUCTNAME %PRODUCTVERSION zahájil obnovu vašich dokumentů. V závislosti na velikosti dokumentů může tato operace trvat i delší dobu.
