on	zapnout
Location and file name	Umístění a název souboru
Position 	Umístění 
Location	Umístění
Position	Umístění
Location	Umístění
Placement	Umístění
Position	Umístění
Placement	Umístění
Positioning	Umístění
Artist	Umělec
Save...	Uložit...
Save...	Uložit...
Save cell content as shown	Uložit zobrazený obsah buňky
Retry Saving	Uložit znovu
Save record	Uložit záznam
Save Record	Uložit záznam
Save merged document	Uložit vygenerovaný dokument
Save merged document	Uložit vygenerovaný dokument
Save All	Uložit vše
Save Contents as well	Uložit také obsah
Save label?	Uložit štítek?
Save arrowhead ?	Uložit šipku?
Save arrow styles	Uložit styly šipek
Save Arrow Styles	Uložit styly šipek
Save Line Styles	Uložit styly čar
Save scheme	Uložit schéma
Save list?	Uložit seznam?
Save Hatches List	Uložit seznam šraf
Save Hatching List	Uložit seznam šraf
Save Bitmap List	Uložit seznam rastrů
Save Gradient List	Uložit seznam přechodů
Save Gradients List	Uložit seznam přechodů
Save Color List	Uložit seznam barev
Save with password	Uložit s heslem
Save with password	Uložit s heslem
Save original Basic code	Uložit původní kód Basic
Save transparency	Uložit průhlednost
Save Background...	Uložit pozadí...
Save starting document	Uložit počáteční dokument
Save links relative to	Uložit odkazy na relativně k
Save Images...	Uložit obrázky...
Save Image...	Uložit obrázek...
Save Graphic...	Uložit obrázek...
Save Graphics...	Uložit obrázek...
Save Image as	Uložit obrázek jako
Save graphics as	Uložit obrázek jako
Save New Version	Uložit novou verzi
Save settings as	Uložit nastavení jako
Save settings (recommended)	Uložit nastavení (doporučeno)
Save macro in	Uložit makro do
Save a Copy...	Uložit kopii...
Save Copy as...	Uložit kopii jako...
Save a Copy	Uložit kopii
Save Keyboard Configuration	Uložit konfiguraci klávesnice
Save configuration	Uložit konfiguraci
Save As...	Uložit jako...
Save as:	Uložit jako:
Save defaults?	Uložit jako výchozí nastavení?
Save As Template...	Uložit jako šablonu...
Save as individual documents	Uložit jako samostatné dokumenty
Save as individual documents	Uložit jako oddělené dokumenty
Save as single document	Uložit jako jeden dokument
Save as HTML?	Uložit jako HTML?
Save as Package...	Uložit jako balík...
Save as Package...	Uložit jako balíček...
Save as	Uložit jako
Save As	Uložit jako
Save Index	Uložit index
Save password	Uložit heslo
Save Label Format	Uložit formát štítku
Save Label Format	Uložit formát popisku
Save Documents	Uložit dokumenty
Save document?	Uložit dokument?
Save Document As URL	Uložit dokument jako URL
Save Document As	Uložit dokument jako
Save document	Uložit dokument
Save Document	Uložit dokument
Save to:	Uložit do:
Save To:	Uložit do:
Save In	Uložit do
Save In	Uložit do
Save to	Uložit do
Save BASIC	Uložit BASIC
Save AutoText	Uložit automatický text
Save current record	Uložit aktuální záznam
Save Current Index	Uložit aktuální index
Save and proceed	Uložit a pokračovat
Save	Uložit
Save	Uložit
Message Storage	Úložiště zpráv
Repository	Úložiště
Saved by: 	Uložil: 
Saved by 	Uložil 
Saved by	Uložil
Save	Uložení
Stored Web Connection Information	Uložené informace o připojení k webu
Tasks	Úlohy
Task	Úloha
Street/Apartment number	Ulice/Číslo bytu
Street/Apartment number	Ulice/Číslo bytu
Street:	Ulice:
Street	Ulice
Street	Ulice
Anchor: To Page	Ukotvit: Ke stránce
Anchor: To Cell	Ukotvit: K buňce
Dock All Toolbars	Ukotvit všechny lišty
Dock Task Pane	Ukotvit panel úloh
Freeze Window	Ukotvit okno
Dock Toolbar	Ukotvit lištu
Anchor to Character	Ukotvit ke znaku
Anchor To Page	Ukotvit ke stránce
Anchor To Frame	Ukotvit k rámci
Anchor To Paragraph	Ukotvit k odstavci
Anchor as Character	Ukotvit jako znak
Anchor	Ukotvit
Freeze	Ukotvit
Anchor<->Text	Ukotvení<->Text
Endnote anchor	Ukotvení vysvětlivky
Endnote Anchor	Ukotvení vysvětlivky
Text anchor	Ukotvení textu
Footnote anchor	Ukotvení poznámky pod čarou
Footnote Anchor	Ukotvení poznámky pod čarou
Anchor	Ukotvení
Anchor	Ukotvení
Elements Dock	Ukotvené prvky
Exit Quickstarter	Ukončit rychlé spuštění
End media	Ukončit přehrávání
End slide show	Ukončit prezentaci
Exit presentation	Ukončit prezentaci
Exit Index Design	Ukončit návrh indexu
Exit Recording	Ukončit nahrávání
Exit Search	Ukončit hledání
Close Application	Ukončit aplikaci
Quit %PRODUCTNAME	Ukončit %PRODUCTNAME
Exit %PRODUCTNAME	Ukončit %PRODUCTNAME
Quit	Ukončit
Exit	Ukončit
End Show	Ukončit
break	ukonči
Document loading finished	Ukončeno načítání dokumentu
Exiting the wizard	Ukončení průvodce
Exit	Ukončení
To do:	Úkoly:
Tasks & Events	Úkoly a události
%PRODUCTNAME Task	Úkoly %PRODUCTNAME
Tasks	Úkoly
TaskID	ÚkolID
DepositAmt	UklČást
Storing or exporting copy of document	Ukládání nebo export kopie dokumentu
Saving document...	Ukládání dokumentu...
DepositAmount	UkládanáČástka
showturtle|st|showme	ukažželvu|ukaž|už
Progress Bar	Ukazatel průběhu
Mouse pointer as Pen	Ukazatel myši jako pero
Error Indicator	Ukazatel chyby
Pointer	Ukazatel
Show Large Preview	Ukázat velký náhled
Show Slide	Ukázat snímek
Show equation	Ukázat rovnici
Show Small Preview	Ukázat malý náhled
Uyghur	Ujgurština
Dock/Undock Windows	Uchytit/Uvolnit okna
Dock	Uchytit
Corner Point	Úhlový bod
Diagonal Green	Úhlopříčně zelená
Diagonal Turquoise	Úhlopříčně tyrkysová
Diagonal Orange	Úhlopříčně oranžová
Diagonal up	Úhlopříčně nahoru
Diagonal Blue	Úhlopříčně modrá
Diagonal Violet	Úhlopříčně fialová
Diagonal down	Úhlopříčně dolů
Diagonal Red	Úhlopříčně červená
Diagonal 4r	Úhlopříčně 4r
Diagonal 4l	Úhlopříčně 4l
Diagonal 3r	Úhlopříčně 3r
Diagonal 3l	Úhlopříčně 3l
Diagonal 2r	Úhlopříčně 2r
Diagonal 2l	Úhlopříčně 2l
Diagonal 1r	Úhlopříčně 1r
Diagonal 1l	Úhlopříčně 1l
diagonal line	úhlopříčná čára
Diagonal Up Right	Úhlopříčka vpravo nahoru
Diagonal Down Right	Úhlopříčka vpravo dolů
Diagonal	Úhlopříčka
Angle:	Úhel:
The angle in degrees.	Úhel ve stupních.
The angle in a radian	Úhel v radiánech
Angle of the dimension value	Úhel textu kóty
Legend angle	Úhel popisku
Rotation angle	Úhel otočení
Rotation Angle	Úhel otočení
Rotation angle	Úhel otočení
Shear angle	Úhel naklonění
Angle	Úhel
Angle	Úhel
Ugaritic	Ugaritské
Group keep together	Udržet skupiny dohromady
Keep Together	Udržet dohromady
Udmurt	Udmurtština
EventDescr	UdálPopis
EventDescription	UdálostPopis
EventName	UdálostNázev
EventID	UdálostID
Events...	Události...
Events...	Události...
Sheet Events...	Události listu...
%PRODUCTNAME Event	Události %PRODUCTNAME
Events	Události
Event	Událost
No user data available.	Údaje nejsou k dispozici.
Accounts	Účty
TimeBilledID	ÚčtovanýČasID
TimeBilled	ÚčtovanýČas
BillableHours	ÚčtovanéHodiny
BillablHrs	ÚčtHod
TimeBillID	ÚčtČasID
Learning Cycles	Učící cykly
AccountID	ÚčetID
Account	Účet
Account	Účet
Purpose	Účel
Names	Účastníci
Attendees	Účastníci
Eliminate Points	Ubrat body
At axis and labels	U osy a popisků
At axis	U osy
Turquoise	Tyrkysová
Typography	Typografie
Typographica	Typografie
Functiontype	Typfunkce
TYPE	TYPE
barriertype	typbariéry
Type:	Typ:
Type:	Typ:
Type of report	Typ zprávy
Type of report	Typ zprávy
Type of message	Typ zprávy
Button type	Typ tlačítka
Printer Language type	Typ tiskového jazyka
Text type	Typ textu
Type of stepping	Typ stupňů
Type of connector	Typ spojnice
Connection Type...	Typ spojení...
The type of maturity	Typ splátky
File type:	Typ souboru:
File type	Typ souboru
File type	Typ souboru
Page Column Type	Typ sloupců stránky
Column type	Typ sloupce
Script type	Typ skriptu
Server Type	Typ serveru
Type of Extension	Typ rozšíření
Regression Type	Typ regrese
Minutes Type	Typ protokolu
Series type	Typ posloupnosti
Type of meeting	Typ porady
Caption Type for Chart Data	Typ popisku pro data grafu
Field type	Typ pole
Field Type	Typ pole
Field type	Typ pole
Type of submission	Typ odeslání
Content type	Typ obsahu
Object type	Typ objektu
The type could not be converted.	Typ nelze převést.
Type of circle	Typ kruhu
Type of dimensioning	Typ kótování
Hyperlink type	Typ hypertextového odkazu
Chart Type...	Typ grafu...
Chart type	Typ grafu
Chart Type	Typ grafu
Number Format Type	Typ formátu čísla
Document type:	Typ dokumentu:
Document type	Typ dokumentu
Data Field Type	Typ datového pole
Database type:	Typ databáze:
Database type 	Typ databáze 
Numbering type	Typ číslování
Line Type:	Typ čáry:
Line type	Typ čáry
Address book type	Typ adresáře
Type and title	Typ a nadpis
Type 4	Typ 4
Type 3	Typ 3
Type 2	Typ 2
Type 1	Typ 1
Type	Typ
Type	Typ
Series type	Typ
Week	Týden
twip	twip
Arabic Presentation Forms-B	Tvary zápisu arabštiny B
Arabic Presentation Forms-A	Tvary zápisu arabštiny A
Alphabetic Presentation Forms	Tvary zápisu abecedy
FlowChart Shapes	Tvary vývojového diagramu
Symbol Shapes	Tvary symbolů
Half-width and Full-width Forms	Tvary s poloviční a plnou šířkou
Star Shapes	Tvary hvězd
Callout Shapes	Tvary bublin
Shapes 2	Tvary 2
Shapes 1	Tvary 1
Shapes	Tvary
Shapes	Tvary
Arrow Shapes	Tvary
Chevron	Tvar V
Fontwork Shape	Tvar písmomalby
Shape %1	Tvar %1
Shape	Tvar
Shape Circle	Tvar
Do not show this question again.	Tuto otázku již nezobrazovat.
This action can't be run in the live mode.	Tuto akci nelze spustit v živém režimu.
Turkmen	Turkmenština
Turkish (Windows-1254)	Turečtina (Windows-1254)
Turkish (ISO-8859-9)	Turečtina (ISO-8859-9)
Turkish (DOS/OS2-857)	Turečtina (DOS/OS2-857)
Turkish (Apple Macintosh)	Turečtina (Apple Macintosh)
Turkish	Turečtina
Dotted (Bold)	Tučné tečkované
Bold strikethrough	Tučné přeškrtnutí
Bold Font	Tučné písmo
Bold Flash	Tučně bliknout
Bold (thickness)	Tučné (tloušťka)
bold	tučné
Bold	Tučné
Bold	Tučné
Bold Italic	Tučná kurzíva
TTEST	TTEST
Tsonga	Tsongština
Tsaangi	Tsaangi
classes	Třídy
Oracle JDBC driver class	Třída Oracle JDBC ovladače
MySQL JDBC driver class:	Třída MySQL JDBC ovladače:
JDBC driver class	Třída JDBC ovladače
Class	Třída
Color Scale (3 Entries)	Tříbarevná škála
Three Slides	Tři snímky
Third Outline Level	Třetí úroveň
Third joined subform field	Třetí spojené pole podformuláře
Third joined main form field	Třetí spojené pole hlavního formuláře
Duration of page	Trvání stránky
Duration	Trvání
TRUNC	TRUNC
TRUE	TRUE
Triangle Up	Trojúhelník nahoru
Triangle Down	Trojúhelník dolů
Triple Dot	Trojtečka
Triple Dot 	Trojtečka
Tristate	Trojstav
Triple Integral Sup/Sub script	Trojný integrál s indexem nahoře a dole
Triple Integral Superscript Top	Trojný integrál s indexem nahoře
Triple Integral Subscript Bottom	Trojný integrál s indexem dole
Triple Integral	Trojný integrál
Blue triple 90 degrees	Trojité modré 90 stupňů
Triple	Trojitá
TRIMMEAN	TRIMMEAN
TRIM	TRIM
drift	trend
TREND	TREND
TRANSPOSE	TRANSPOSE
Transpose	Transponovat
TrnsactnID	TransID
Transform file	Transformovat soubor
Transform document	Transformovat dokument
Transform %1	Transformovat %1
transform	transformovat
Transform	Transformovat
Transformation	Transformace
TransactionID	TransakceID
Transactions	Transakce
Traditional Chinese to simplified Chinese	Tradiční čínština na zjednodušenou čínštinu
Chinese traditional (Windows-950)	Tradiční čínština (Windows-950)
Chinese traditional (GBT-12345)	Tradiční čínština (GBT-12345)
Chinese traditional (EUC-TW)	Tradiční čínština (EUC-TW)
Chinese traditional (Big5)	Tradiční čínština (Big5)
Chinese traditional (BIG5-HKSCS)	Tradiční čínština (BIG5-HKSCS)
Chinese traditional (Apple Macintosh)	Tradiční čínština (Apple Macintosh)
Do not show this warning again	Toto varování již nezobrazovat
There is no such extension deployed: 	Toto rozšíření není nainstalováno: 
This is not a WinWord97 file.	Toto není soubor WinWord97.
This is not a WinWord6 file.	Toto není soubor WinWord6.
This is not a %PRODUCTNAME Writer file.	Toto není soubor %PRODUCTNAME Writer.
This is an invalid binding expression.	Toto není platný výraz pro vazbu.
This is not an FTP folder	Toto není FTP složka
The code value for the character.	Toto je kód znaku.
Torus	Torus
Modifier Tone Letters	Tonální modifikátory
Stagnation Tolerance	Tolerance stagnace
Tolerance	Tolerance
Outline text flow	Tok textu osnovy
Text flow	Tok textu
Text Flow	Tok textu
Tok Pisin	Tok Pisin
Do not show this wizard again	Tohoto průvodce již nezobrazovat
TODAY	TODAY
navy	tmavomodrá
Dark Green Triangle	Tmavě zelený trojúhelník
Dark violet	Tmavě fialová
Dark Red Circle	Tmavě červený kruh
Bordeaux	Tmavě červená
Dark Red	Tmavě červená
Dark	Tmavá
Thick Box Border	Tlusté vnější ohraničení
Thick Bottom Border	Tlusté ohraničení dole
Thick	Tlustá
Dim	Tlumené
Heartbeat	Tlukot srdce
fontweight	tloušťkapísma
pensize|penwidth|linewidth|ps	tloušťkapera|tloušťkačáry|tp
Width:	Tloušťka:
Width	Tloušťka
Weight	Tloušťka
Thickness	Tloušťka
Option Button	Tlačítko volby
URL Button	Tlačítko URL
button	tlačítko
Button	Tlačítko
Button	Tlačítko
Push Button	Tlačítko
Title Pages	Titulní stránky
Title Page...	Titulní stránka...
Title Page	Titulní stránka
Title2	Titulek2
Title1	Titulek1
Title	Titulek
Title/Profession	Titul/profese
Title/Profession	Titul/Profese
Title/Position	Titul/Pozice
Title	Titul
Title	Titul
TITLE	TITLE
Print dialogs	Tiskové dialogy
PrintSize	TiskováVelikost
Printable	Tisknutelná
Printable	Tisknutelná
Print form letters	Tisknout standardní dopis
Print File Directly	Tisknout soubor přímo
Print When Group Change	Tisknout při změně skupiny
Print only selected sheets	Tisknout pouze vybrané listy
Print repeated value on group change	Tisknout opakované hodnoty při změně skupiny
Print border	Tisknout ohraničení
Print content	Tisknout obsah
Print grid	Tisknout mřížku
Print automatically inserted blank pages	Tisknout automaticky vložené prázdné stránky
Print automatically inserted blank pages	Tisknout automaticky vložené prázdné stránky
Print	Tisknout
The printer %s could not be added.	Tiskárnu %s nelze přidat.
Printer	Tiskárnu
Printer busy	Tiskárna je zaneprázdněna
Printer	Tiskárna
Printer	Tiskárna
Print...	Tisk...
Print...	Tisk...
Printing selection	Tisk vybraných částí
Print selection only	Tisk pouze výběru
Print repeated values	Tisk opakovaných hodnot
Print from bottom	Tisk od spodního okraje
Print from top	Tisk od horního okraje
Print range	Tisk oblasti
Print range	Tisk oblasti
Printing sets document modified status	Tisk nastaví stav dokument změněn
Printing of form letters started	Tisk hromadných dopisů zahájen
Printing of form letters finished	Tisk hromadných dopisů ukončen
Print document	Tisk dokumentu
Print Document	Tisk dokumentu
Print to File...	Tisk do souboru...
Print to file	Tisk do souboru
Print to file	Tisk do souboru
Print	Tisk
Print	Tisk
Printing	Tisk
Help tips disappear after	Tipy nápovědy zmizí za
Help tips disappear after 	Tipy nápovědy zmizí za
Tips	Tipy
TIMEVALUE	TIMEVALUE
TIME	TIME
Tilde	Tilda
Tigrigna (Ethiopia)	Tigriňa (Etiopie)
Tigrigna (Eritrea)	Tigriňa (Eritrea)
Tigrinya	Tigriňa
Tifinagh	Tifinagh
TIFF - Tagged Image File Format	TIFF - Tagged Image File Format
Tibetan (India)	Tibetština (Indie)
Tibetan (PR China)	Tibetština (ČLDR)
Tibetan	Tibetština
Tibetan	Tibetské
Thunderbird/Icedove	Thunderbird/Icedove
theta	theta
THETA	THETA
Thai (Windows-874)	Thajština (Windows-874)
Thai (ISO-8859-11/TIS-620)	Thajština (ISO-8859-11/TIS-620)
Thai	Thajština
Thai spelling dictionary	Thajský slovník pro kontrolu pravopisu
Thai	Thajské
TGA - Truevision Targa	TGA - Truevision Targa
Outline Texts	Texty osnovy
Textures	Textury
